idx,epoch,out_idx,tensor_index,type_code,type_name,bytes_total,bytes_dumped,dims_size,dim00,dim01,dim02,dim03,dim04,dim05,dim06,dim07,b00_hex,b01_hex,b02_hex,b03_hex,b04_hex,b05_hex,b06_hex,b07_hex,b08_hex,b09_hex,b10_hex,b11_hex,b12_hex,b13_hex,b14_hex,b15_hex,b16_hex,b17_hex,b18_hex,b19_hex,b20_hex,b21_hex,b22_hex,b23_hex,b24_hex,b25_hex,b26_hex,b27_hex,b28_hex,b29_hex,b30_hex,b31_hex
7,1546606800,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1546606800,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x89,0x0D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1546610400,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1546610400,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1546614000,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1546614000,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x89,0x0D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1546617600,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1546617600,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x89,0x0D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1546621200,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1546621200,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x89,0x0D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1546624800,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x88,0xF8,0x0F,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1546624800,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0x89,0x0D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1546628400,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1546628400,1,22,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x9D,0x0A,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1546632000,0,24,1,float32,4,4,2,1,1,-1,-1,-1,-1,-1,-1,0xC9,0x8A,0x10,0x3F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
