datetime,T_out,T_in,H_out,H_in,__row_id_raw,hour,weekday,month,sin_hour,cos_hour,T_in_lag1,H_in_lag1,T_out_lag1,H_out_lag1,T_in_lag2,H_in_lag2,epoch
2019-01-03 22:00:00,32.22,28.87,62.00,68.05,9900,22.00,3,1,-0.50,0.87,28.85,68.06,32.22,62.00,28.81,68.07,1546552800
2019-01-03 23:00:00,32.22,28.72,59.00,67.74,9901,23.00,3,1,-0.26,0.97,28.87,68.05,32.22,62.00,28.85,68.06,1546556400
2019-01-04 00:00:00,31.11,28.87,55.00,67.51,9902,0.00,4,1,0.00,1.00,28.72,67.74,32.22,59.00,28.87,68.05,1546560000
2019-01-04 01:00:00,30.00,28.96,55.00,67.53,9903,1.00,4,1,0.26,0.97,28.87,67.51,31.11,55.00,28.72,67.74,1546563600
2019-01-04 02:00:00,28.89,29.02,58.00,67.67,9904,2.00,4,1,0.50,0.87,28.96,67.53,30.00,55.00,28.87,67.51,1546567200
2019-01-04 03:00:00,28.89,29.06,62.00,67.79,9905,3.00,4,1,0.71,0.71,29.02,67.67,28.89,58.00,28.96,67.53,1546570800
2019-01-04 04:00:00,27.78,29.06,70.00,67.85,9906,4.00,4,1,0.87,0.50,29.06,67.79,28.89,62.00,29.02,67.67,1546574400
2019-01-04 05:00:00,28.89,29.05,70.00,67.90,9907,5.00,4,1,0.97,0.26,29.06,67.85,27.78,70.00,29.06,67.79,1546578000
2019-01-04 06:00:00,28.89,29.05,74.00,67.90,9908,6.00,4,1,1.00,0.00,29.05,67.90,28.89,70.00,29.06,67.85,1546581600
2019-01-04 07:00:00,27.78,29.02,74.00,67.82,9909,7.00,4,1,0.97,-0.26,29.05,67.90,28.89,74.00,29.05,67.90,1546585200
2019-01-04 08:00:00,27.78,28.98,74.00,67.81,9910,8.00,4,1,0.87,-0.50,29.02,67.82,27.78,74.00,29.05,67.90,1546588800
2019-01-04 09:00:00,27.78,28.98,79.00,67.78,9911,9.00,4,1,0.71,-0.71,28.98,67.81,27.78,74.00,29.02,67.82,1546592400
2019-01-04 10:00:00,27.78,29.12,79.00,67.76,9912,10.00,4,1,0.50,-0.87,28.98,67.78,27.78,79.00,28.98,67.81,1546596000
2019-01-04 11:00:00,27.22,29.15,79.00,67.63,9913,11.00,4,1,0.26,-0.97,29.12,67.76,27.78,79.00,28.98,67.78,1546599600
2019-01-04 12:00:00,27.22,29.21,79.00,67.56,9914,12.00,4,1,0.00,-1.00,29.15,67.63,27.22,79.00,29.12,67.76,1546603200
2019-01-04 13:00:00,27.22,29.35,79.00,67.42,9915,13.00,4,1,-0.26,-0.97,29.21,67.56,27.22,79.00,29.15,67.63,1546606800
2019-01-04 14:00:00,28.89,29.50,74.00,67.38,9916,14.00,4,1,-0.50,-0.87,29.35,67.42,27.22,79.00,29.21,67.56,1546610400
2019-01-04 15:00:00,30.00,29.55,70.00,67.16,9917,15.00,4,1,-0.71,-0.71,29.50,67.38,28.89,74.00,29.35,67.42,1546614000
2019-01-04 16:00:00,31.11,29.60,62.00,66.89,9918,16.00,4,1,-0.87,-0.50,29.55,67.16,30.00,70.00,29.50,67.38,1546617600
2019-01-04 17:00:00,32.22,29.48,59.00,66.55,9919,17.00,4,1,-0.97,-0.26,29.60,66.89,31.11,62.00,29.55,67.16,1546621200
2019-01-04 18:00:00,32.22,29.38,55.00,66.08,9920,18.00,4,1,-1.00,-0.00,29.48,66.55,32.22,59.00,29.60,66.89,1546624800
2019-01-04 19:00:00,32.78,29.28,52.00,65.71,9921,19.00,4,1,-0.97,0.26,29.38,66.08,32.22,55.00,29.48,66.55,1546628400
2019-01-04 20:00:00,32.78,29.16,49.00,65.31,9922,20.00,4,1,-0.87,0.50,29.28,65.71,32.78,52.00,29.38,66.08,1546632000
2019-01-04 21:00:00,32.78,29.11,52.00,64.99,9923,21.00,4,1,-0.71,0.71,29.16,65.31,32.78,49.00,29.28,65.71,1546635600
2019-01-04 22:00:00,32.22,29.10,49.00,64.68,9924,22.00,4,1,-0.50,0.87,29.11,64.99,32.78,52.00,29.16,65.31,1546639200
2019-01-04 23:00:00,31.11,29.11,52.00,64.37,9925,23.00,4,1,-0.26,0.97,29.10,64.68,32.22,49.00,29.11,64.99,1546642800
2019-01-05 00:00:00,27.78,28.95,79.00,63.99,9926,0.00,5,1,0.00,1.00,29.11,64.37,31.11,52.00,29.10,64.68,1546646400
2019-01-05 01:00:00,27.22,28.75,94.00,63.51,9927,1.00,5,1,0.26,0.97,28.95,63.99,27.78,79.00,29.11,64.37,1546650000
2019-01-05 02:00:00,27.22,28.65,89.00,63.01,9928,2.00,5,1,0.50,0.87,28.75,63.51,27.22,94.00,28.95,63.99,1546653600
2019-01-05 03:00:00,27.22,28.79,89.00,62.70,9929,3.00,5,1,0.71,0.71,28.65,63.01,27.22,89.00,28.75,63.51,1546657200
2019-01-05 04:00:00,27.22,28.79,89.00,62.52,9930,4.00,5,1,0.87,0.50,28.79,62.70,27.22,89.00,28.65,63.01,1546660800
2019-01-05 05:00:00,27.78,28.77,74.00,62.48,9931,5.00,5,1,0.97,0.26,28.79,62.52,27.22,89.00,28.79,62.70,1546664400
