idx,epoch,gt_Tin_true,gt_Hin_true,state_Tout_phys_raw,state_Hout_phys_raw,state_Tin_lag1_phys_raw,state_Hin_lag1_phys_raw,state_Tout_lag1_phys_raw,state_Hout_lag1_phys_raw,state_Tin_lag2_phys_raw,state_Hin_lag2_phys_raw,state_sin_hour,state_cos_hour,state_weekday,state_month,y_T_scaled,y_H_scaled,d_T_pred,d_H_pred,p_Tprev_phys,p_Hprev_phys,p_T_pred,p_H_pred
34,1546621200,29.47999954,66.54774475,32.22000122,59.00000000,29.60000038,66.89015961,31.11000061,62.00000000,29.54999924,67.16495514,-0.96592581,-0.25881904,4.00000000,1.00000000,0.56351948,0.57478988,0.02830938,0.05504893,29.60000038,66.89015961,29.62830925,66.94520569
35,1546624800,29.37999916,66.07992554,32.22000122,55.00000000,29.47999954,66.54774475,32.22000122,59.00000000,29.60000038,66.89015961,-1.00000000,-0.00000000,4.00000000,1.00000000,0.56351948,0.56351948,0.02830938,0.03930301,29.47999954,66.54774475,29.50830841,66.58705139
36,1546628400,29.28000069,65.70793152,32.77999878,52.00000000,29.37999916,66.07992554,32.22000122,55.00000000,29.47999954,66.54774475,-0.96592581,0.25881904,4.00000000,1.00000000,0.56351948,0.55224913,0.02830938,0.02355717,29.37999916,66.07992554,29.40830803,66.10348511
37,1546632000,29.15999985,65.31369781,32.77999878,49.00000000,29.28000069,65.70793152,32.77999878,52.00000000,29.37999916,66.07992554,-0.86602539,0.50000000,4.00000000,1.00000000,0.57478988,0.55224913,0.05107559,0.02355717,29.28000069,65.70793152,29.33107567,65.73149109
38,1546635600,29.11000061,64.98620605,32.77999878,52.00000000,29.15999985,65.31369781,32.77999878,49.00000000,29.28000069,65.70793152,-0.70710677,0.70710677,4.00000000,1.00000000,0.56351948,0.54097873,0.02830938,0.00781125,29.15999985,65.31369781,29.18830872,65.32151031
39,1546639200,29.10000038,64.68411255,32.22000122,49.00000000,29.11000061,64.98620605,32.77999878,52.00000000,29.15999985,65.31369781,-0.50000000,0.86602539,4.00000000,1.00000000,0.56351948,0.54097873,0.02830938,0.00781125,29.11000061,64.98620605,29.13830948,64.99401855
40,1546642800,29.11000061,64.36698151,31.11000061,52.00000000,29.10000038,64.68411255,32.22000122,49.00000000,29.11000061,64.98620605,-0.25881904,0.96592581,4.00000000,1.00000000,0.55224913,0.52970833,0.00554328,-0.00793467,29.10000038,64.68411255,29.10554314,64.67617798
41,1546646400,28.95000076,63.99122620,27.78000069,79.00000000,29.11000061,64.36698151,31.11000061,52.00000000,29.10000038,64.68411255,0.00000000,1.00000000,5.00000000,1.00000000,0.55224913,0.54097873,0.00554328,0.00781125,29.11000061,64.36698151,29.11554337,64.37479401
42,1546650000,28.75000000,63.50793076,27.21999931,94.00000000,28.95000076,63.99122620,27.78000069,79.00000000,29.11000061,64.36698151,0.25881904,0.96592581,5.00000000,1.00000000,0.55224913,0.54097873,0.00554328,0.00781125,28.95000076,63.99122620,28.95554352,63.99903870
43,1546653600,28.64999962,63.01289368,27.21999931,89.00000000,28.75000000,63.50793076,27.21999931,94.00000000,28.95000076,63.99122620,0.50000000,0.86602539,5.00000000,1.00000000,0.55224913,0.54097873,0.00554328,0.00781125,28.75000000,63.50793076,28.75554276,63.51574326
44,1546657200,28.79000092,62.70466232,27.21999931,89.00000000,28.64999962,63.01289368,27.21999931,89.00000000,28.75000000,63.50793076,0.70710677,0.70710677,5.00000000,1.00000000,0.56351948,0.55224913,0.02830938,0.02355717,28.64999962,63.01289368,28.67830849,63.03644943
45,1546660800,28.79000092,62.51548767,27.21999931,89.00000000,28.79000092,62.70466232,27.21999931,89.00000000,28.64999962,63.01289368,0.86602539,0.50000000,5.00000000,1.00000000,0.56351948,0.55224913,0.02830938,0.02355717,28.79000092,62.70466232,28.81830978,62.72821808
46,1546664400,28.77000046,62.48464966,27.78000069,74.00000000,28.79000092,62.51548767,27.21999931,89.00000000,28.79000092,62.70466232,0.96592581,0.25881904,5.00000000,1.00000000,0.57478988,0.54097873,0.05107559,0.00781125,28.79000092,62.51548767,28.84107590,62.52330017
